iter	Passed	Remaining
304	2044	4657
305	2045	4639
306	2051	4631
307	2057	4622
308	2059	4604
309	2064	4594
310	2072	4592
311	2076	4580
312	2082	4571
313	2090	4568
314	2095	4556
315	2113	4574
316	2120	4568
317	2122	4552
318	2131	4549
319	2150	4568
320	2161	4572
321	2165	4559
322	2169	4548
323	2178	4544
324	2179	4527
325	2187	4522
326	2202	4532
327	2211	4530
328	2213	4515
329	2226	4520
330	2228	4504
331	2231	4490
332	2234	4476
333	2244	4475
334	2246	4459
335	2250	4447
336	2257	4441
337	2261	4429
338	2264	4415
339	2272	4410
340	2282	4410
341	2293	4412
342	2295	4396
343	2299	4384
344	2303	4372
345	2306	4360
346	2314	4354
347	2317	4342
348	2324	4336
349	2332	4331
350	2337	4321
351	2344	4315
352	2349	4306
353	2351	4291
354	2353	4276
355	2363	4274
356	2365	4261
357	2370	4250
358	2383	4255
359	2387	4244
360	2392	4234
361	2394	4220
362	2405	4221
363	2409	4210
364	2411	4195
365	2420	4193
366	2424	4181
367	2426	4166
368	2428	4152
369	2435	4146
370	2437	4133
371	2450	4136
372	2453	4123
373	2458	4115
374	2463	4105
375	2467	4094
376	2479	4097
377	2483	4086
378	2497	4091
379	2515	4104
380	2529	4110
381	2532	4096
382	2547	4103
383	2553	4095
384	2557	4085
385	2573	4093
386	2586	4097
387	2592	4089
388	2605	4092
389	2611	4083
390	2625	4088
391	2644	4102
392	2648	4090
393	2660	4091
394	2662	4077
395	2664	4063
396	2666	4050
397	2669	4037
398	2682	4039
399	2684	4026
400	2685	4012
401	2699	4014
402	2708	4012
403	2713	4003
404	2715	3989
405	2730	3994
406	2732	3981
407	2746	3984
408	2748	3971
409	2750	3958
410	2760	3956
411	2762	3942
412	2764	3929
